fight_id,detail_level,has_round_stats,has_sig_strikes,source,notes
2820efa5f0a1,full,1,1,ufcstats,
d6f4f85c92d0,full,1,1,ufcstats,
2bc7be4c2323,full,1,1,ufcstats,
b873afa4eb29,full,1,1,ufcstats,
65e1b3470c7d,full,1,1,ufcstats,
df5f43257d88,full,1,1,ufcstats,
2e40353dc6a8,full,1,1,ufcstats,
8ef6c8e82b16,full,1,1,ufcstats,
556585e960a8,full,1,1,ufcstats,
35bd992172ef,full,1,1,ufcstats,
ed65a09cee77,full,1,1,ufcstats,
fc181f3ebc75,full,1,1,ufcstats,
fca0bfdf05c9,full,1,1,ufcstats,
4fa5a8561d28,full,1,1,ufcstats,
c9ed61604388,full,1,1,ufcstats,
992404bdb03c,full,1,1,ufcstats,
4e2ef2150837,full,1,1,ufcstats,
cb11237b49d2,full,1,1,ufcstats,
f4efe994ddc1,full,1,1,ufcstats,
c807fc867923,full,1,1,ufcstats,
74e8ecf71913,full,1,1,ufcstats,
b7aa9b74c9b1,full,1,1,ufcstats,
a4c954b28e66,full,1,1,ufcstats,
da0f0e562ffa,full,1,1,ufcstats,
e19f54d585a2,full,1,1,ufcstats,
e0d9684c4dfe,full,1,1,ufcstats,
58d0c5c9a5a6,full,1,1,ufcstats,
d869262e83fb,full,1,1,ufcstats,
74a80f9f5396,full,1,1,ufcstats,
7211d65d3116,full,1,1,ufcstats,
4b26c8ea0459,full,1,1,ufcstats,
cc8d079ac67e,full,1,1,ufcstats,
56569aff39d8,full,1,1,ufcstats,
c35333178efc,full,1,1,ufcstats,
e90ff789fe79,full,1,1,ufcstats,
994eccac8914,full,1,1,ufcstats,
c76b85824520,full,1,1,ufcstats,
344e9b6d35b8,full,1,1,ufcstats,
d7ab18edd70a,full,1,1,ufcstats,
211b001e7174,full,1,1,ufcstats,
78c838a49c74,full,1,1,ufcstats,
560a3eadbe30,full,1,1,ufcstats,
0f79fa44b883,full,1,1,ufcstats,
a664bb40c53a,full,1,1,ufcstats,
b33e15aea8c3,full,1,1,ufcstats,
adf973b3411c,full,1,1,ufcstats,
2913f5d13123,full,1,1,ufcstats,
73fcaefedc54,full,1,1,ufcstats,
ab7218646b10,full,1,1,ufcstats,
4bd6787be111,full,1,1,ufcstats,
cf6eb43474d2,full,1,1,ufcstats,
7c3d4893f427,full,1,1,ufcstats,
6a9b5bf5415d,full,1,1,ufcstats,
801428f7b398,full,1,1,ufcstats,
c3622127d482,full,1,1,ufcstats,
09713a944cb7,full,1,1,ufcstats,
ad99ddccb444,full,1,1,ufcstats,
df3a52387971,full,1,1,ufcstats,
d7ecd347c578,full,1,1,ufcstats,
cb91d5e3f040,full,1,1,ufcstats,
67ab691fa2c9,full,1,1,ufcstats,
12467bc06c02,full,1,1,ufcstats,
c5722ccf73b2,full,1,1,ufcstats,
00199ecaf6ec,full,1,1,ufcstats,
d27a58caf7a7,full,1,1,ufcstats,
c66ef7f4838b,full,1,1,ufcstats,
598f92a6fb00,full,1,1,ufcstats,
c7ad6c708996,full,1,1,ufcstats,
224188978169,full,1,1,ufcstats,
4ba772547bcf,full,1,1,ufcstats,
97c7a0e5a95f,full,1,1,ufcstats,
6b15a454daaf,full,1,1,ufcstats,
c3da1cfeeb78,full,1,1,ufcstats,
805e79c15e90,full,1,1,ufcstats,
afbdc548e8a3,full,1,1,ufcstats,
b623591626ed,full,1,1,ufcstats,
25000d78a597,full,1,1,ufcstats,
e44022c52290,full,1,1,ufcstats,
ed80a2335678,full,1,1,ufcstats,
2a81be273db9,full,1,1,ufcstats,
83f2a1cf2a84,full,1,1,ufcstats,
f8c2b54703cb,full,1,1,ufcstats,
dfef03c8ab32,full,1,1,ufcstats,
ab163e0eef41,full,1,1,ufcstats,
ebe0f36ead51,full,1,1,ufcstats,
d95d0ab6c256,full,1,1,ufcstats,
65772adf1b3a,full,1,1,ufcstats,
8088ad1af613,full,1,1,ufcstats,
0dbeed6cb506,full,1,1,ufcstats,
172a4166d3e6,full,1,1,ufcstats,
bd8c7150e8fc,full,1,1,ufcstats,
e1d73da978ad,full,1,1,ufcstats,
5e5bdb2bcbbc,full,1,1,ufcstats,
9fc85a7d8167,full,1,1,ufcstats,
0bc9ebcbe7bd,full,1,1,ufcstats,
4bc163d0c56d,full,1,1,ufcstats,
64391f0c3c9e,full,1,1,ufcstats,
672972e67958,full,1,1,ufcstats,
7c91a94713b6,full,1,1,ufcstats,
2aa772714512,full,1,1,ufcstats,
d6e880e651e0,full,1,1,ufcstats,
2a61421387d8,full,1,1,ufcstats,
6628296e8fc1,full,1,1,ufcstats,
5dc6bb09e385,full,1,1,ufcstats,
f09295ee71db,full,1,1,ufcstats,
4c3efeb7a0e8,full,1,1,ufcstats,
03a68a7ecafd,full,1,1,ufcstats,
01e252294ea9,full,1,1,ufcstats,
607b45130373,full,1,1,ufcstats,
24cc2fe1713d,full,1,1,ufcstats,
f169990cd526,full,1,1,ufcstats,
09b2b8fb1e1a,full,1,1,ufcstats,
52873727c1ef,full,1,1,ufcstats,
dcd15cdcccb0,full,1,1,ufcstats,
ef1ae1077cbc,full,1,1,ufcstats,
41aa427a1a9c,full,1,1,ufcstats,
8666f9901d0b,full,1,1,ufcstats,
e480e85ea07b,full,1,1,ufcstats,
64379e90a2d1,full,1,1,ufcstats,
9dbe0b530708,full,1,1,ufcstats,
b6bf3557e6d8,full,1,1,ufcstats,
cf1f495b2147,full,1,1,ufcstats,
198344ee5402,full,1,1,ufcstats,
25344196e56d,full,1,1,ufcstats,
5b4d35727c1a,full,1,1,ufcstats,
89e528c04d1b,full,1,1,ufcstats,
46c0fab0a6b0,full,1,1,ufcstats,
ea6c4a2a3a2d,full,1,1,ufcstats,
0b19f5602d1e,full,1,1,ufcstats,
f786424d063f,full,1,1,ufcstats,
571803e905a1,full,1,1,ufcstats,
18f51f7858e6,full,1,1,ufcstats,
1664f3e07bcc,full,1,1,ufcstats,
e0ac07713692,full,1,1,ufcstats,
bf6e67224bc1,full,1,1,ufcstats,
3d8debe8b24b,full,1,1,ufcstats,
622d32426832,full,1,1,ufcstats,
da26997fa919,full,1,1,ufcstats,
5eaec2acdb99,full,1,1,ufcstats,
eef7a087c61f,full,1,1,ufcstats,
10b5047557fb,full,1,1,ufcstats,
d7ec6c7bb873,full,1,1,ufcstats,
e8032cc8f5ec,full,1,1,ufcstats,
f40df79e37e5,full,1,1,ufcstats,
71866c697638,full,1,1,ufcstats,
3ec1e9fcbc85,full,1,1,ufcstats,
8c6ec7c161b6,full,1,1,ufcstats,
5be12c73345e,full,1,1,ufcstats,
b36d1ccc02fd,full,1,1,ufcstats,
1506d8104e46,full,1,1,ufcstats,
3b49c8e422d6,full,1,1,ufcstats,
3120be53cfe6,full,1,1,ufcstats,
8a1d06ddad35,full,1,1,ufcstats,
a707c50aba4c,full,1,1,ufcstats,
7d5d30d132f3,full,1,1,ufcstats,
852ed10e249c,full,1,1,ufcstats,
7b4f3910b2ef,full,1,1,ufcstats,
8f13c0255bd1,full,1,1,ufcstats,
ddfe2650f49f,full,1,1,ufcstats,
565ca148f9b2,full,1,1,ufcstats,
ac915d6568b8,full,1,1,ufcstats,
a4aef18c2ab1,full,1,1,ufcstats,
cfebd7aaeb83,full,1,1,ufcstats,
cd12680f0231,full,1,1,ufcstats,
4eafdd234759,full,1,1,ufcstats,
a3e09877e6a7,full,1,1,ufcstats,
336f1ddb9e7f,full,1,1,ufcstats,
af92f7ea655f,full,1,1,ufcstats,
22f4074e313e,full,1,1,ufcstats,
fac2e03d48ee,full,1,1,ufcstats,
4cb99a42b101,full,1,1,ufcstats,
b2d13fb6f2a4,full,1,1,ufcstats,
8bf22f4d613c,full,1,1,ufcstats,
e2fd954def48,full,1,1,ufcstats,
b70aa71f022b,full,1,1,ufcstats,
f3273ccf884f,full,1,1,ufcstats,
af5e12cc823e,full,1,1,ufcstats,
340694332243,full,1,1,ufcstats,
7b2cd6ee73b8,full,1,1,ufcstats,
9cc21d1b99fa,full,1,1,ufcstats,
8c6213627a8f,full,1,1,ufcstats,
